ID,Count
18288,493.1432075052904
18289,470.60051273218653
18290,447.9253398417833
18291,430.3209961586868
18292,419.14071810015224
18293,413.20087343274446
18294,412.7012124313964
18295,420.93500791994626
18296,441.1912332240176
18297,471.5340875352695
18298,503.0482204214805
18299,524.4023114296534
18300,529.5772331296822
18301,522.1552213841946
18302,512.2376920355705
18303,508.53633722152216
18304,512.4022482651058
18305,518.5602238178215
18306,521.0753390701759
18307,518.5598916247674
18308,513.9812358661067
18309,510.0427689383428
18310,505.3461893956886
18311,495.3649035680885
18312,477.1228030770356
18313,452.69767141302884
18314,428.00964018941875
18315,408.2765675726968
18316,394.86847169393536
18317,386.6205989543985
18318,383.7535120108227
18319,389.5830390202103
18320,407.4222351484017
18321,435.3606681340736
18322,464.5093822934768
18323,483.5641997774935
18324,486.5335906265377
18325,477.0275387449233
18326,465.17504653574167
18327,459.7149150741513
18328,462.02455050616476
18329,466.85395914436356
18330,468.2920108543055
18331,464.9730900466027
18332,459.88464972789706
18333,455.74793520598416
18334,451.18000179432084
18335,441.6669046086743
18336,424.2422866902959
18337,400.99062583626517
18338,377.83556290049853
18339,359.995185852764
18340,348.8364037872201
18341,343.1879917851287
18342,343.26069198924836
18343,352.35721260820856
18344,373.7742755659335
18345,405.5820238672561
18346,438.8691419290698
18347,462.3063461306171
18348,469.87447518335426
18349,465.153605136735
18350,458.2408290888316
18351,457.8413355159392
18352,465.29753265788355
18353,475.32337793723786
18354,481.9709883144609
18355,483.83764705581416
18356,483.8737184108285
18357,484.7637327709622
18358,485.08876262983813
18359,480.29996343820164
18360,467.39750165974056
18361,448.4341266270211
18362,429.3038053454333
18363,415.1972910913249
18364,407.4567569098935
18365,404.8890719996912
18366,407.6861038442794
18367,419.134885628754
18368,442.5197978638453
18369,475.9020738975562
18370,510.36498159306444
18371,534.5773378904125
18372,542.521585737268
18373,537.7828585383163
18374,530.4666729519853
18375,529.2898851243539
18376,535.6096593824908
18377,544.1576103316999
18378,549.0061965915692
18379,548.7754843020675
18380,546.4407948536372
18381,544.7135026349707
18382,542.2031065589462
18383,534.3904530702578
18384,518.3063367100686
18385,496.0347386690351
18386,473.5011263567739
18387,455.9276887523692
18388,444.68764240857786
18389,438.61818988872284
18390,437.9405170545707
18391,445.96967215317005
18392,466.01647880550814
18393,496.1667954927625
18394,527.526476436937
18395,548.7846928787452
18396,553.9418461836683
18397,546.5984994803957
18398,536.8729698323916
18399,533.4922167946632
18400,537.8207767378298
18401,544.5949038201159
18402,547.8889953777186
18403,546.3224189935133
18404,542.8672544479405
18405,540.2292147163737
18406,537.0098678008005
18407,528.6800348222885
18408,512.2585878544925
18409,489.81590511275317
18410,467.262403474628
18411,449.80401986921265
18412,438.79677305881665
18413,433.059984140136
18414,432.796538688401
18415,441.3030300025941
18416,461.8719321018431
18417,492.5711117091705
18418,524.4890308829827
18419,546.2982962488375
18420,551.9837834020691
18421,545.1317605874467
18422,535.8476513299071
18423,532.8470698509302
18424,537.4848769574353
18425,544.489415956947
18426,547.9290053926917
18427,546.4188052726627
18428,542.9285697830721
18429,540.163550833556
18430,536.7266747790878
18431,528.0918686674873
18432,511.28276079114113
18433,488.37601478335995
18434,465.2897191608519
18435,447.238706112666
18436,435.5889335266078
18437,429.1705113086935
18438,428.1977578245338
18439,435.97912897328536
18440,455.81917170402744
18441,485.7978144466491
18442,517.0153493621032
18443,538.1557655903812
18444,543.2146652382797
18445,535.7881892650125
18446,525.9905958462772
18447,522.5451277778359
18448,526.8129191000006
18449,533.5271027363821
18450,536.7591978980173
18451,535.125895554865
18452,531.5967562806767
18453,528.8750857546395
18454,525.5601108456431
18455,517.1203328381517
18456,500.5722823880688
18457,477.9839348939881
18458,455.2632072709898
18459,437.61340860706395
18460,426.38777707757924
18461,420.40268220021903
18462,419.8578759940975
18463,428.04663302000245
18464,448.2579283337104
18465,478.55596284912525
18466,510.02538785327926
18467,531.33488459707
18468,536.4653273554352
18469,528.9989536827783
18470,519.0371811087739
18471,515.2917034494767
18472,519.1136136995751
18473,525.2277121738875
18474,527.6990757185227
18475,525.1400035847029
18476,520.5178517962069
18477,516.5360191294499
18478,511.7962057629939
18479,501.771819641954
18480,483.48675399566287
18481,459.0187939148483
18482,434.2880726028831
18483,414.5124498092882
18484,401.06194523980395
18485,392.771806860557
18486,389.8625988852841
18487,395.6501510201199
18488,413.4475199703312
18489,441.3442750052393
18490,470.45146196296804
18491,489.46490450810865
18492,492.3930741843318
18493,482.8459563915998
18494,470.95255501880325
18495,465.45167261784405
18496,467.72071680196456
18497,472.5096953421365
18498,473.9074795527466
18499,470.5484552832521
18500,465.42007697089787
18501,461.24359134418785
18502,456.6360551259244
18503,447.08352483429985
18504,429.6196449014483
18505,406.328894505787
18506,383.1349158738286
18507,365.25579833675914
18508,354.0584523405161
18509,348.3716543085342
18510,348.406147715539
18511,357.46464209178856
18512,378.84386067274085
18513,410.61394776536207
18514,443.86358907674133
18515,467.2635022673361
18516,474.7945273194522
18517,470.03674154173046
18518,463.08723928304335
18519,462.65121025790245
18520,470.0710639350776
18521,480.0607589546741
18522,486.6724134842034
18523,488.5033119873252
18524,488.5038198985618
18525,489.3584687846393
18526,489.648332303394
18527,484.8245670584153
18528,471.8873406559313
18529,452.8894035613642
18530,433.72472389585243
